0,48,12,169,6.000000,2015-11-02
0,48,12,169,6.000000,2015-11-03
0,48,12,169,5.800000,2015-11-04
0,48,12,169,5.800000,2015-11-05
0,48,12,169,5.800000,2015-11-06
0,48,12,169,5.800000,2015-11-07
0,52,12,169,4.500000,2009-10-30
0,52,12,169,5.500000,2009-11-02
0,52,12,169,4.500000,2009-11-03
0,52,12,169,4.500000,2009-11-04
0,52,12,169,4.500000,2009-11-05
0,52,12,169,2.500000,2010-03-01
0,52,12,169,2.700000,2010-03-04
0,52,12,169,2.200000,2010-03-08
0,52,12,169,2.200000,2010-03-09
2,58,12,920,3.000000,2013-04-24
2,58,12,920,2.600000,2013-04-26
2,58,12,920,2.600000,2013-04-27
2,58,12,920,2.000000,2013-04-28
2,58,12,920,2.000000,2013-05-02
4,19,12,573,2.700000,2013-11-12
4,19,12,573,2.700000,2013-11-13
4,19,12,573,2.600000,2013-11-14
4,19,12,573,2.800000,2013-11-15
4,19,12,573,2.800000,2013-11-18
4,19,12,573,2.900000,2013-11-19
7,78,12,2032,3.500000,2013-05-28
7,78,12,2032,3.500000,2013-05-30
7,78,12,2032,3.500000,2013-05-31
7,78,12,2032,3.500000,2013-06-01
7,78,12,2032,3.500000,2013-06-03
7,78,12,2032,3.500000,2013-06-05
7,78,12,2032,2.700000,2013-06-07
7,78,12,2032,2.700000,2013-06-10
7,78,12,2032,2.700000,2013-06-11
7,78,12,2032,2.700000,2013-06-12